RAhms	DEdms	Vmag	Plx	B-V
12 40 46.92	-43 34 05.0	12.24	 130.52	 1.750
22 57 38.83	-29 37 18.6	 1.17	 130.08	 0.145
17 25 45.57	+02 06 51.5	 7.54	 129.54	 1.359
18 36 56.19	+38 46 58.8	 0.03	 128.93	-0.001
18 05 07.25	-03 01 49.8	 9.37	 128.28	 1.508
10 12 17.76	-03 44 42.3	 9.26	 127.99	 1.487
20 30 31.42	+65 26 55.9	10.54	 125.62	 1.542
21 31 17.92	-09 47 25.9	11.96	 124.82	 1.703
06 57 47.50	-44 17 27.9	10.81	 124.62	 1.636
04 49 50.14	+06 57 40.5	 3.19	 124.60	 0.484
16 24 08.32	+48 21 14.4	10.27	 124.34	 1.475
18 21 02.34	+72 44 01.3	 3.55	 124.11	 0.489
17 37 52.78	+18 35 21.5	 9.62	 123.02	 1.530
01 10 22.31	-67 26 46.8	 9.80	 122.86	 1.568
23 00 16.69	-22 31 28.2	 7.88	 122.80	 1.379
01 02 28.99	+71 40 50.7	 9.98	 122.77	 1.501
01 39 47.24	-56 11 47.2	 5.76	 122.75	 0.880
07 58 12.53	+41 18 19.3	12.02	 122.53	 1.618
15 42 07.78	-19 28 09.3	11.83	 121.86	 1.591
12 47 57.22	+09 45 09.1	11.39	 121.78	 1.563
19 01 53.68	-36 57 08.1	11.57	 121.75	
04 29 44.91	-29 01 34.9	11.42	 120.70	 0.646
06 33 47.54	-75 37 32.2	11.41	 119.54	
12 33 45.09	+41 21 24.4	 4.24	 119.46	 0.588
17 46 27.72	+27 43 21.0	 3.42	 119.05	 0.750
16 20 04.05	-37 31 53.1	10.56	 118.03	 1.550
05 02 28.51	-21 15 22.0	 8.31	 117.38	 1.430
13 18 24.97	-18 18 31.0	 4.74	 117.30	 0.709
11 51 07.53	+35 16 17.0	 9.76	 116.92	 1.477
00 20 01.91	-64 52 39.4	 4.23	 116.38	 0.576
22 55 47.90	-75 27 21.9	10.42	 116.02	 1.485
19 07 05.86	+20 53 20.0	10.77	 115.91	 1.570
22 38 45.29	-20 37 15.4	 9.06	 115.71	 1.466
05 54 23.08	+20 16 35.1	 4.39	 115.43	 0.594
05 28 00.27	+09 38 44.8	12.48	 115.04	 1.653
06 52 18.37	-05 10 25.3	 6.58	 114.94	 1.071
