RAhms	DEdms	Vmag	Plx	B-V
05 23 38.23	+17 19 26.9	 7.93	  69.76	 1.104
21 11 49.40	-43 36 43.1	11.98	  69.76	 1.586
14 24 55.66	+08 53 14.0	12.23	  69.73	 1.613
20 45 17.27	+61 50 12.5	 3.41	  69.73	 0.912
16 09 42.94	-56 26 45.5	 7.11	  69.66	 0.856
16 04 57.22	+39 09 23.0	 6.66	  69.61	 0.734
16 44 15.03	-38 56 36.6	 7.52	  69.58	 1.024
17 20 39.47	+32 28 13.0	 5.38	  69.48	 0.619
14 21 57.64	+29 37 49.3	 8.56	  69.43	 1.275
07 18 08.34	+39 16 30.3	10.30	  69.21	 1.508
19 34 39.53	+04 34 54.3	 9.35	  69.09	 1.390
15 09 35.94	+03 09 56.3	11.46	  68.99	 1.511
09 06 45.53	-08 48 26.4	 9.50	  68.86	 1.418
13 40 07.36	-04 11 14.2	 9.61	  68.80	 1.376
16 56 48.52	-39 05 37.2	11.18	  68.71	 1.510
15 21 49.57	-48 19 01.1	 5.65	  68.70	 0.639
14 25 12.02	+51 51 06.2	 4.04	  68.63	 0.497
03 46 19.89	+26 12 57.5	 9.61	  68.62	 1.437
05 55 43.01	-26 51 23.3	10.70	  68.58	 1.054
20 07 44.78	-31 45 07.8	12.19	  68.49	 1.560
07 01 13.61	-25 56 55.7	 6.71	  68.42	 0.882
10 39 44.21	-37 55 12.4	11.02	  68.38	 1.529
08 59 12.84	+48 02 32.5	 3.12	  68.32	 0.223
20 40 11.44	-23 46 30.0	 6.36	  68.28	 0.719
06 26 10.32	+18 45 26.3	 6.78	  68.20	 0.938
05 24 25.31	+17 23 00.8	 5.00	  68.19	 0.544
15 57 40.95	-42 37 25.6	 8.06	  68.18	 1.118
15 44 01.85	+02 30 55.9	 5.86	  68.16	 0.684
20 46 05.77	-25 16 13.9	 4.13	  68.16	 0.426
11 15 12.73	+73 28 29.8	 7.68	  68.13	 1.043
21 36 40.85	-50 50 41.6	 7.14	  67.85	 0.879
12 08 24.75	-24 43 43.6	 4.02	  67.71	 0.334
20 56 46.62	-10 26 44.9	11.38	  67.71	 1.563
03 06 26.51	+01 58 02.7	 9.07	  67.69	 1.358
07 17 29.58	-46 58 50.4	 6.70	  67.69	 0.975
20 34 22.14	+25 03 54.7	11.53	  67.65	-0.097
23 30 13.24	-20 23 25.7	11.09	  67.57	 1.500
22 38 28.59	-65 22 41.2	11.50	  67.44	 1.593
21 05 19.70	+07 04 14.4	 8.27	  67.38	 1.119
07 39 23.12	+02 11 03.3	 9.66	  67.27	 1.379
02 37 52.70	-58 45 12.9	12.36	  67.20	
09 42 14.67	-23 54 58.4	 4.93	  67.19	 0.534
10 01 01.02	+31 55 29.0	 5.37	  67.14	 0.676
10 02 22.30	+48 05 32.6	10.03	  67.14	 1.359
16 12 41.76	-18 52 30.0	11.34	  67.13	 1.486
00 45 45.43	-47 33 07.8	 5.80	  66.92	 0.635
05 28 44.78	-65 26 56.2	 6.88	  66.92	 0.830
17 16 41.15	+08 03 30.8	11.49	  66.92	 1.517
21 18 34.58	+62 35 07.6	 2.45	  66.84	 0.257
04 09 14.64	-53 22 30.4	11.79	  66.82	 1.480
06 00 19.80	-31 01 52.2	 7.85	  66.82	 1.137
18 57 01.47	+32 54 05.8	 5.20	  66.76	 0.594
00 17 05.94	+40 56 53.1	 8.99	  66.71	 1.370
05 47 40.02	-36 19 41.8	10.72	  66.71	 1.476
05 56 24.32	-14 10 04.9	 3.71	  66.47	 0.337
01 07 06.14	+63 56 26.0	 9.00	  66.46	 1.289
01 15 10.57	-45 31 55.5	 4.97	  66.43	 0.571
12 44 14.90	+51 45 35.1	 7.01	  66.40	 0.936
23 09 41.44	-67 43 56.3	 8.29	  66.36	 1.201
07 03 59.00	-43 36 44.2	 6.83	  66.29	 0.779
16 56 01.36	+65 08 04.8	 4.88	  66.28	 0.481
21 00 04.88	+40 04 15.2	10.12	  66.21	 1.520
03 24 59.87	-05 21 42.8	 7.86	  66.15	 1.153
21 54 45.58	-46 59 30.6	11.99	  66.12	 1.560
06 37 11.08	-50 02 17.9	 9.61	  66.11	 1.456
19 24 57.77	+11 56 34.3	 5.17	  66.01	 0.761
00 51 33.63	-22 54 33.8	 8.95	  65.81	 1.290
07 45 35.18	-34 10 35.6	 5.36	  65.79	 0.589
15 47 29.41	-37 54 56.9	 6.01	  65.60	 0.715
17 44 08.72	-51 50 00.9	 5.12	  65.46	 0.694
07 04 25.40	+68 17 19.2	11.95	  65.44	 1.527
01 17 53.20	+05 28 31.7	11.02	  65.30	 1.478
12 12 20.63	+54 29 07.9	 9.71	  65.29	 1.380
11 37 05.20	+29 47 58.4	12.49	  65.28	-0.072
22 57 27.85	+20 46 07.3	 5.45	  65.10	 0.666
20 10 57.08	-30 13 04.4	12.18	  65.06	 0.070
19 25 29.75	+03 06 52.5	 3.36	  65.05	 0.319
12 38 53.13	+11 41 48.3	11.49	  65.04	 1.475
07 04 17.78	-10 30 24.6	10.95	  64.96	 1.535
20 27 41.79	-27 44 44.1	11.41	  64.93	 1.504
06 47 38.16	+37 31 05.3	12.06	  64.91	-0.098
03 54 35.47	-06 49 38.3	 9.02	  64.90	 1.366
03 09 31.15	+45 44 01.2	10.11	  64.83	 1.473
22 29 15.09	-30 00 59.2	 7.65	  64.74	 1.080
06 06 40.55	+15 32 32.5	 6.76	  64.71	 0.814
00 50 07.72	-10 38 37.6	 5.17	  64.69	 0.514
14 14 30.75	-61 47 57.9	12.10	  64.68	
14 34 40.69	+29 44 41.3	 4.47	  64.66	 0.364
18 35 18.01	+45 44 35.4	 9.84	  64.61	 1.415
08 42 52.10	+09 33 16.5	11.83	  64.56	 1.550
19 23 33.96	+33 13 17.7	 6.37	  64.54	 0.804
00 37 19.79	-24 46 02.0	 5.57	  64.38	 0.715
05 48 34.90	-04 05 38.7	 5.97	  64.25	 0.639
07 28 51.46	-30 14 47.4	 9.96	  64.24	 1.442
15 15 59.06	+00 47 48.1	 6.92	  64.19	 0.830
20 03 52.76	+23 20 34.5	 7.28	  64.17	 0.815
15 47 24.84	-10 53 44.3	11.27	  64.16	 1.565
18 51 51.32	+16 35 04.0	10.16	  64.13	 1.447
13 47 16.04	+17 27 24.4	 4.50	  64.12	 0.508
13 41 04.03	-34 27 49.5	 6.92	  64.08	 0.855
22 34 00.55	-25 14 30.1	11.25	  63.98	 1.494
21 48 15.61	-47 18 10.4	 5.57	  63.95	 0.601
18 07 01.61	+30 33 42.7	 5.05	  63.88	 0.528
23 08 06.68	+03 19 42.1	10.90	  63.85	 1.490
20 10 19.86	-20 29 33.1	 8.91	  63.82	 1.296
09 53 11.84	-03 41 20.4	10.53	  63.81	 1.503
10 31 24.69	+45 31 39.0	 8.85	  63.81	 1.330
23 10 15.28	-25 55 52.9	11.27	  63.73	 1.566
13 04 58.23	-52 26 27.6	 9.05	  63.66	 1.362
15 40 34.47	-18 02 57.3	 8.92	  63.56	 1.296
19 16 42.74	-45 53 18.0	 9.38	  63.43	 1.432
03 57 28.81	-01 09 32.8	 8.07	  63.41	 1.115
14 25 46.15	+23 37 23.5	 9.98	  63.35	 1.452
07 34 36.00	+31 53 19.1	 1.58	  63.27	 0.034
20 05 03.36	+54 26 11.1	11.98	  63.23	 1.524
01 52 02.96	+47 00 05.6	12.44	  63.08	 0.170
15 52 40.19	+42 27 00.0	 4.60	  63.08	 0.563
00 02 08.41	-68 16 48.7	 9.24	  63.03	 1.390
05 07 26.68	+18 38 42.0	 4.91	  63.02	 0.657
20 03 36.95	+29 53 53.1	 5.73	  62.92	 0.749
09 58 33.92	-46 25 26.2	11.27	  62.88	 1.555
16 20 52.75	+40 57 40.2	 8.99	  62.86	 1.286
09 46 48.28	+76 02 46.9	10.64	  62.85	 1.382
02 46 17.12	+11 46 32.7	 8.59	  62.83	 1.269
16 48 25.42	-72 58 29.3	11.36	  62.66	 1.600
04 01 18.81	+76 09 38.5	 8.20	  62.57	 1.132
12 21 53.94	+42 08 06.5	 9.36	  62.54	 1.354
00 05 17.87	-67 49 52.4	 8.49	  62.48	 1.076
00 45 48.05	-41 54 32.4	 7.89	  62.41	 1.251
13 23 39.15	+02 43 22.2	 7.06	  62.41	 0.780
22 21 43.01	-65 31 34.3	12.11	  62.40	 1.653
10 01 11.48	-30 23 30.2	11.43	  62.33	 1.485
22 23 28.92	+32 27 35.8	10.70	  62.18	 1.570
13 20 57.71	+34 16 46.8	10.62	  62.13	 1.512
11 23 29.72	+07 01 30.7	10.37	  62.03	 1.240
21 49 05.27	-72 06 06.4	 9.53	  62.00	 1.420
17 30 11.45	-51 38 11.5	 9.58	  61.98	 1.460
12 33 32.26	-68 45 18.2	 7.13	  61.83	 0.836
21 16 32.38	+09 23 38.8	 7.88	  61.83	 1.020
07 57 46.30	-60 18 12.1	 5.59	  61.76	 0.573
11 31 43.76	+22 40 01.4	10.31	  61.76	 1.439
07 23 15.00	+46 05 16.8	10.56	  61.68	 1.442
00 18 16.59	+10 12 10.3	10.88	  61.67	 1.479
10 24 23.74	-74 01 53.6	 3.99	  61.67	 0.369
03 44 09.02	-38 16 56.9	 6.99	  61.63	 0.870
18 40 57.36	-13 22 40.7	10.63	  61.63	 1.505
21 57 41.24	-51 00 18.9	10.36	  61.63	 1.510
21 27 16.84	-06 50 35.9	11.09	  61.57	 1.500
07 03 57.40	-43 36 32.3	 5.56	  61.54	 0.624
22 46 41.44	+12 10 26.7	 4.20	  61.54	 0.502
13 25 49.15	-28 22 25.4	11.04	  61.50	 1.522
03 47 23.24	-01 58 17.5	11.59	  61.45	 1.511
03 43 45.15	+16 40 04.9	10.83	  61.40	 1.470
00 26 52.94	+70 08 34.0	10.52	  61.39	 1.459
09 42 35.97	-19 14 03.2	11.94	  61.35	 1.525
01 39 55.99	+15 15 34.0	 8.68	  61.30	
10 41 09.20	-36 53 41.9	 9.97	  61.30	 1.464
06 33 50.42	-58 31 49.4	11.62	  61.28	 1.500
01 03 13.74	+20 05 51.8	11.36	  61.23	 1.590
10 41 51.90	-36 38 00.7	10.19	  61.18	 1.460
16 32 45.65	+12 36 47.2	12.13	  61.08	 1.470
03 26 58.76	-63 29 54.6	 8.08	  61.07	 1.130
13 47 42.10	-32 25 47.9	 8.13	  61.07	 1.322
21 20 13.93	-19 51 01.9	 9.09	  61.04	 1.340
08 57 04.71	+11 38 51.9	10.60	  60.99	 1.511
14 42 30.69	-64 58 28.5	 3.18	  60.97	 0.256
06 49 56.73	+60 20 04.4	 8.59	  60.96	 1.209
22 01 48.81	+16 28 01.5	10.65	  60.94	 1.498
18 33 55.60	+51 43 11.7	 8.20	  60.90	 1.265
09 00 38.75	+41 47 00.4	 3.96	  60.86	 0.463
13 52 36.41	-50 55 17.8	 7.37	  60.86	 0.891
17 30 23.87	-01 03 45.0	 5.31	  60.80	 0.715
01 14 34.09	-53 56 34.3	11.16	  60.76	 1.637
08 52 00.21	+66 07 52.5	 9.26	  60.63	 1.319
01 17 15.34	-35 42 55.7	11.31	  60.61	 1.510
06 46 44.34	+43 34 37.3	 5.24	  60.56	 0.575
23 48 02.58	+49 00 56.7	12.06	  60.56	 1.630
14 30 48.47	-08 38 44.7	 9.40	  60.53	 1.403
02 39 01.19	-58 11 14.0	 9.48	  60.51	 1.396
04 58 50.47	+49 50 58.4	 9.80	  60.48	 1.413
14 08 12.22	+80 35 55.0	10.31	  60.40	 1.379
14 36 00.44	+09 44 49.7	 7.48	  60.35	 0.973
16 46 13.96	+16 28 44.9	11.74	  60.34	 2.400
14 03 32.30	+10 47 15.1	 6.27	  60.24	 0.733
22 25 56.25	-75 00 52.9	 9.35	  60.24	 1.120
08 09 58.55	-52 58 11.3	11.74	  60.23	 1.523
02 27 45.81	+04 25 53.6	 8.69	  60.22	 1.397
23 43 50.87	+32 32 47.3	13.11	  60.11	 1.550
07 51 46.34	-13 53 49.9	 5.16	  59.98	 0.600
18 50 26.53	-62 03 04.2	10.74	  59.94	 1.480
06 13 45.33	-23 51 43.9	 6.37	  59.90	 0.713
00 09 10.09	+59 09 00.8	 2.28	  59.89	 0.380
19 31 08.54	+58 35 13.1	 6.60	  59.84	 0.859
04 05 20.15	+22 00 33.2	 5.90	  59.79	 0.620
13 55 02.74	-29 05 25.0	 9.53	  59.57	 1.414
13 23 40.84	+02 43 29.2	 7.35	  59.56	 0.869
14 25 42.97	+23 37 11.3	 9.77	  59.54	 1.419
20 10 52.27	+77 14 15.8	 8.88	  59.53	 1.320
08 00 32.24	+29 12 54.7	 6.97	  59.52	 0.716
01 21 59.20	+76 42 37.3	 7.17	  59.46	 0.826
10 39 40.99	-06 55 24.6	11.28	  59.46	 1.503
13 01 20.15	-63 11 38.6	10.92	  59.46	 1.490
16 23 07.86	-24 42 29.3	10.23	  59.46	 1.458
05 33 44.94	+01 56 44.8	11.53	  59.45	 1.576
07 15 50.11	+47 14 25.5	 5.54	  59.31	 0.576
11 02 19.32	+16 30 31.1	11.64	  59.31	 1.454
23 31 20.95	+59 09 54.9	 6.76	  59.31	 0.839
01 21 33.63	-41 39 19.1	10.15	  59.29	 1.383
05 19 12.25	-03 04 26.9	 7.77	  59.29	 1.051
13 33 51.81	-53 25 54.4	12.96	  59.10	
16 52 59.22	-00 01 22.1	 6.65	  59.04	 0.749
23 01 51.31	-03 50 53.6	 7.48	  59.04	 0.943
11 11 19.98	+43 25 06.3	10.92	  59.01	 1.632
14 51 41.07	-24 18 11.1	 7.81	  58.96	 1.036
07 03 50.30	-43 33 44.3	 8.67	  58.89	 1.180
07 56 18.87	+80 15 55.2	 6.55	  58.67	 0.719
23 58 32.60	+07 39 33.9	11.78	  58.62	 1.500
18 48 52.12	+17 26 23.9	 9.17	  58.60	 1.284
10 12 08.47	-18 37 03.8	 9.93	  58.59	 1.413
03 23 35.23	-40 04 35.4	 6.90	  58.53	 0.840
16 09 02.94	+52 56 37.4	10.24	  58.53	 1.585
08 54 18.19	-05 26 04.3	 6.01	  58.50	 0.661
09 29 08.84	-02 46 08.2	 4.59	  58.48	 0.411
18 16 31.10	+45 33 25.3	10.31	  58.47	 1.428
23 44 07.31	-27 11 46.7	 9.01	  58.45	 0.535
08 08 13.37	+21 06 21.4	 9.41	  58.42	 1.340
19 06 52.60	-37 48 35.2	 6.15	  58.24	 0.705
12 48 47.26	+24 50 25.7	 6.29	  58.23	 0.703
14 10 57.68	-31 17 26.3	10.77	  58.18	
09 28 53.42	-07 22 09.6	12.10	  58.17	 1.512
03 43 52.47	+16 40 22.1	 9.99	  58.09	 1.420
07 07 22.80	-21 27 25.5	11.11	  58.04	 1.440
02 42 33.16	-50 48 03.0	 5.40	  58.00	 0.561
23 55 40.06	-06 08 29.8	11.14	  57.97	 1.465
00 40 49.00	+40 11 19.7	 7.36	  57.90	 0.937
06 55 18.69	+25 22 32.3	 5.74	  57.89	 0.573
08 02 31.41	-66 01 14.2	 7.18	  57.88	 0.872
18 50 21.25	-26 55 24.9	 9.65	  57.87	 1.459
15 13 51.64	-01 21 00.6	 6.58	  57.80	 0.763
18 48 29.15	+10 44 47.4	 7.97	  57.79	 1.070
14 13 57.35	+30 13 00.3	 8.03	  57.78	 1.064
15 49 36.62	+51 02 54.7	12.84	  57.78	 2.200
03 18 07.15	+38 15 12.4	10.29	  57.75	 1.449
01 42 29.15	-53 44 26.1	 5.52	  57.63	 0.551
23 58 42.94	+46 43 45.0	 9.57	  57.62	 1.355
03 47 58.33	+02 47 19.9	11.05	  57.59	 1.495
18 06 23.64	-36 01 11.3	 5.94	  57.58	 0.615
12 44 59.68	+39 16 42.9	 5.95	  57.57	 0.557
03 10 15.54	+05 54 36.4	11.82	  57.53	 1.500
03 48 00.83	+68 40 20.2	 9.17	  57.53	 1.314
03 48 01.34	+68 40 36.8	 9.41	  57.53	 1.530
13 19 40.33	+33 20 48.8	10.62	  57.52	 1.469
05 29 27.07	+15 34 39.4	10.55	  57.50	 1.500
17 21 00.21	-21 06 44.8	 4.39	  57.48	 0.394
11 02 18.04	+16 30 34.9	11.35	  57.46	 1.600
16 01 02.80	+33 18 19.4	 5.39	  57.38	 0.612
21 34 49.91	+51 32 10.9	12.01	  57.37	 1.800
15 53 12.19	+13 11 52.8	 6.07	  57.27	 0.598
07 57 57.88	-00 48 51.9	 8.05	  57.26	 1.065
01 55 56.83	-51 36 34.5	 3.69	  57.19	 0.844
10 31 43.30	+57 06 55.6	 9.63	  57.18	 1.361
16 57 42.35	+47 21 41.4	 7.93	  57.13	 1.004
15 41 11.52	-44 39 38.0	 4.64	  57.09	 0.413
06 41 15.58	+23 57 30.2	 8.08	  57.07	 1.021
09 17 53.42	+28 33 42.3	 7.20	  57.05	 0.992
22 36 09.65	-00 50 24.5	 9.98	  57.04	 1.411
06 45 17.43	+12 53 45.8	 3.35	  57.02	 0.443
17 43 25.85	-21 40 59.1	 4.86	  57.00	 0.469
07 29 01.66	+31 59 36.3	 7.73	  56.98	 0.923
10 56 30.95	+07 23 19.2	 7.37	  56.98	 0.920
11 17 07.37	-27 48 48.0	 9.78	  56.96	 1.383
15 04 19.28	+60 23 03.0	11.00	  56.94	 1.500
00 06 18.90	-65 50 21.1	12.17	  56.92	 1.550
20 17 30.63	+66 51 10.7	 5.91	  56.92	 0.602
11 16 22.25	-14 41 35.1	 9.98	  56.87	 1.401
13 02 20.79	-26 47 11.8	 8.35	  56.87	 1.216
14 46 23.35	+16 29 56.2	 9.23	  56.87	 1.261
14 23 15.15	+01 14 33.8	 6.25	  56.82	 0.639
16 19 31.48	-30 54 06.9	 7.29	  56.82	 0.585
00 16 11.24	-79 51 03.7	 6.59	  56.76	 0.749
03 56 36.33	-41 20 37.7	 8.85	  56.69	 1.214
21 07 10.15	-13 55 22.1	 7.12	  56.67	 0.901
20 04 06.47	+17 04 16.2	 5.80	  56.60	 0.600
11 26 45.75	+03 00 45.6	 6.49	  56.59	 0.778
20 56 48.07	-04 50 47.2	11.87	  56.56	 1.490
11 14 06.41	+20 31 26.5	 2.56	  56.52	 0.128
07 07 50.87	+67 12 05.1	11.17	  56.51	 1.499
20 05 31.49	-67 19 09.3	 6.07	  56.45	 0.648
16 27 57.05	+07 18 21.9	 8.83	  56.43	 1.253
01 32 26.57	-21 54 10.7	11.16	  56.42	 1.492
05 24 30.14	-38 58 10.2	 9.08	  56.36	 1.248
01 51 48.35	-10 48 07.8	11.80	  56.35	 1.475
09 32 43.86	+26 59 20.9	 7.05	  56.35	 0.779
11 34 38.35	-23 52 12.6	11.16	  56.35	 1.505
18 10 26.26	-62 00 10.0	 5.47	  56.32	 0.592
11 47 15.99	-30 17 09.4	 6.48	  56.26	 0.681
09 43 25.63	+42 41 36.8	 8.13	  56.23	 1.133
14 19 01.13	-25 48 58.7	 5.87	  56.23	 0.518
04 36 48.09	+27 07 57.2	 8.10	  56.02	 1.104
06 46 14.47	+79 33 58.6	 5.44	  56.02	 0.525
19 06 25.04	-37 03 45.9	 4.23	  55.89	 0.523
16 25 13.37	-21 56 11.5	10.40	  55.81	 1.444
03 46 50.99	-23 14 54.4	 4.22	  55.79	 0.434
12 35 00.97	+09 49 45.4	11.40	  55.79	 1.429
05 26 14.57	-32 30 16.4	 7.70	  55.76	 0.946
14 50 15.72	+23 54 42.4	 5.86	  55.73	 0.576
20 19 37.25	-46 25 40.3	 8.73	  55.73	 1.167
11 13 13.42	+04 28 56.7	 8.70	  55.72	 1.179
13 16 46.71	+09 25 25.3	 5.19	  55.71	 0.585
16 57 53.31	+47 21 57.7	 7.76	  55.71	 0.980
00 21 19.56	-45 44 40.0	10.41	  55.68	 1.475
04 55 41.79	-28 33 48.1	 8.13	  55.67	 1.072
13 20 36.07	-36 42 43.5	 2.75	  55.64	 0.068
04 49 52.35	-35 06 26.5	 7.49	  55.59	 0.901
11 26 46.70	+03 00 21.1	 7.58	  55.59	 1.002
00 24 25.50	-27 01 37.1	 7.92	  55.53	 0.940
06 27 45.94	+20 46 59.6	 8.59	  55.52	 1.029
12 23 01.05	+64 01 47.7	11.63	  55.50	 1.610
13 30 14.29	-08 34 25.3	12.31	  55.50	 0.026
19 32 06.56	-11 16 29.9	 7.53	  55.50	 0.922
13 14 15.43	-59 06 10.3	 4.90	  55.49	 0.489
07 52 15.80	-34 42 21.7	 5.01	  55.48	 0.470
13 19 34.43	+35 06 32.2	12.03	  55.48	 1.470
08 51 44.34	+18 07 30.4	11.54	  55.46	 1.481
07 20 07.39	+21 58 56.4	 3.50	  55.45	 0.374
21 30 02.15	-12 30 34.0	 9.11	  55.38	 1.261
10 08 43.18	+34 14 32.7	 7.56	  55.37	 0.965
17 02 36.30	+47 04 47.3	 6.76	  55.37	 0.728
17 04 27.79	-28 34 55.3	 6.59	  55.31	 0.814
12 35 58.50	-45 56 14.6	11.09	  55.29	 1.482
12 57 40.45	+35 13 31.5	10.57	  55.27	 1.423
17 16 00.72	+11 03 30.7	11.01	  55.24	 1.773
13 28 25.95	+13 46 48.7	 4.97	  55.22	 0.714
06 13 12.46	+10 37 40.3	 6.43	  55.20	 0.663
08 20 03.87	+27 13 07.0	 5.13	  55.17	 0.487
16 10 24.21	+43 49 06.1	 6.61	  55.11	 0.877
16 48 45.96	-15 44 18.2	10.89	  55.09	 1.468
17 29 06.74	-23 50 09.4	 9.61	  55.03	 1.272
05 37 08.79	-80 28 18.0	 5.65	  54.92	 0.600
12 32 04.48	-16 11 45.1	 4.30	  54.92	 0.388
00 21 56.00	-31 24 20.1	11.16	  54.91	 1.485
07 58 04.14	-25 37 33.7	 8.42	  54.91	 1.043
11 05 42.77	+10 14 15.6	12.37	  54.90	 1.572
04 16 29.08	-59 18 06.3	 4.44	  54.84	 1.078
01 54 38.35	+20 48 29.9	 2.64	  54.74	 0.165
08 44 23.00	-44 28 22.0	10.65	  54.68	 1.432
07 57 48.40	-33 57 10.5	 8.83	  54.62	 1.136
09 01 17.55	+15 15 59.5	 8.67	  54.57	 1.285
08 14 36.17	+13 01 21.3	 8.79	  54.53	 1.186
09 32 25.72	-11 11 05.0	 7.82	  54.52	 0.933
03 14 44.48	-26 26 47.4	 9.17	  54.48	 1.235
21 44 31.19	+14 46 20.0	 5.96	  54.37	 0.587
06 59 59.85	-61 20 12.6	 6.81	  54.33	 0.786
09 48 35.18	+46 01 16.4	 5.08	  54.26	 0.619
09 14 53.72	+04 26 34.4	 7.91	  54.25	 1.035
17 11 24.61	-38 24 34.5	12.25	  54.25	
00 51 28.10	+58 18 03.8	10.66	  54.23	 1.363
04 09 34.92	+69 32 31.6	 7.70	  54.17	 0.952
13 33 32.70	+08 35 11.5	 7.98	  54.15	 1.026
23 38 17.26	-41 31 02.0	11.95	  54.15	 1.551
04 03 13.76	+35 16 35.7	 8.51	  54.14	 0.863
21 14 28.79	+10 00 27.8	 4.47	  54.11	 0.529
07 29 06.61	+31 47 02.7	 4.16	  54.06	 0.320
08 39 50.86	+11 31 26.0	 7.61	  53.98	 0.832
13 23 33.10	+29 14 12.8	 8.88	  53.97	 1.321
17 17 50.41	+52 26 51.3	 7.93	  53.97	 1.019
16 05 40.29	-20 26 57.1	 7.39	  53.93	 1.043
02 43 20.65	+19 25 45.4	 8.23	  53.89	 1.074
09 30 42.11	-40 28 00.8	 3.60	  53.89	 0.371
23 43 34.71	+19 07 47.7	 9.11	  53.88	 0.413
00 53 04.28	+61 07 24.8	 4.80	  53.85	 0.540
20 39 37.20	+04 58 18.7	 7.88	  53.82	 1.241
13 06 15.43	+20 43 44.4	 9.44	  53.78	 1.290
19 36 26.54	+50 13 13.7	 4.49	  53.78	 0.395
11 07 27.85	-19 17 29.0	10.38	  53.75	 1.430
15 23 12.23	+30 17 17.7	 4.99	  53.70	 0.577
06 57 04.63	+30 45 25.3	 9.68	  53.67	 1.359
14 17 24.35	+45 26 40.3	10.19	  53.64	 1.391
14 43 03.56	-05 39 26.7	 3.87	  53.54	 0.385
16 55 37.95	-32 04 00.8	 9.58	  53.54	 1.378
14 06 41.32	-36 22 07.3	 2.06	  53.52	 1.011
23 39 51.21	-32 44 33.6	 7.18	  53.52	 0.802
07 02 43.04	-06 47 54.5	 8.38	  53.47	 1.078
21 19 46.00	-26 21 07.2	 6.56	  53.40	 0.737
21 09 21.52	-73 10 20.2	 5.67	  53.38	 0.590
22 10 08.48	-32 32 54.4	 4.94	  53.36	 0.489
18 29 52.31	-01 49 03.5	 8.04	  53.30	 1.074
12 48 10.20	-24 48 18.0	 9.90	  53.29	 1.380
06 51 32.60	+47 22 10.2	 8.95	  53.12	 1.232
00 49 26.44	-23 12 46.0	 7.15	  53.09	 0.769
18 33 05.20	-54 15 46.2	 8.50	  53.00	 1.115
20 05 09.59	+38 28 41.5	 6.18	  52.99	 0.654
01 38 29.64	+00 39 04.3	11.60	  52.95	 1.496
15 22 04.27	-04 46 38.7	 9.46	  52.95	 1.310
00 11 15.91	-15 28 02.4	 4.89	  52.94	 0.487
22 37 29.89	+39 22 54.6	 9.41	  52.94	 1.367
19 57 19.70	-12 34 00.3	 9.29	  52.92	 1.318
02 29 01.31	-19 58 46.6	 8.78	  52.90	 1.120
22 50 37.11	+34 51 19.0	11.72	  52.82	 1.523
18 21 18.92	-02 53 49.6	 3.23	  52.81	 0.941
17 13 40.72	-08 25 11.2	12.00	  52.76	 1.548
01 20 41.06	+57 19 36.7	10.36	  52.71	 1.340
08 37 08.04	+15 07 53.4	11.80	  52.66	 1.563
17 36 13.19	+71 52 42.4	 8.55	  52.57	 1.089
18 16 02.19	+13 54 52.6	10.18	  52.57	 1.404
21 46 35.68	-57 42 04.3	 8.77	  52.56	 1.322
07 18 32.86	+17 53 41.6	 9.68	  52.47	 0.274
19 14 39.54	+19 18 59.9	11.56	  52.45	 1.500
15 35 19.84	+60 05 14.6	 8.39	  52.43	 1.063
16 54 12.36	+11 54 50.1	10.75	  52.43	 1.405
03 07 55.97	-28 13 10.0	10.21	  52.38	
07 03 30.35	+29 20 20.7	 5.93	  52.37	 0.595
18 45 39.73	+20 32 49.6	 4.19	  52.37	 0.483
08 29 55.67	+61 43 39.0	10.29	  52.33	 1.345
16 58 53.85	-39 33 32.7	 8.33	  52.30	 1.181
21 04 53.94	-16 57 14.1	11.45	  52.26	 1.443
09 08 51.20	+33 52 57.0	 5.95	  52.25	 0.585
15 04 53.88	+05 38 21.6	 9.83	  52.11	 1.300
19 56 36.75	-31 20 07.4	 8.42	  52.11	 1.025
13 33 19.66	-77 34 23.6	 9.31	  52.09	 0.914
21 18 02.70	+00 09 43.3	 8.15	  52.03	 0.990
07 54 34.33	-01 24 43.6	 7.43	  52.01	 0.739
04 02 36.66	-00 16 05.9	 5.38	  52.00	 0.516
08 07 32.70	-24 18 16.0	 2.83	  51.99	 0.458
23 19 05.51	-60 31 14.0	 8.93	  51.97	 1.154
20 00 43.71	+22 42 41.3	 7.67	  51.94	 0.932
13 45 41.57	-33 02 36.1	 4.23	  51.91	 0.390
16 40 49.00	+36 18 58.6	11.45	  51.88	
05 47 17.08	-51 04 00.2	 3.85	  51.87	 0.171
18 19 50.84	-01 56 19.0	 9.66	  51.81	 1.350
23 35 00.08	+01 36 19.2	 9.59	  51.80	 1.329
06 17 16.25	+05 05 58.9	 5.70	  51.76	 0.610
09 30 28.13	-32 06 15.0	 8.31	  51.71	 0.985
20 02 34.25	+15 35 36.6	 7.15	  51.71	 0.714
00 57 18.46	-62 14 45.3	 9.50	  51.66	 1.299
21 02 40.42	+45 53 03.9	 7.69	  51.65	 0.970
19 51 01.50	+10 24 57.8	 5.12	  51.57	 0.563
22 23 32.67	-57 13 11.0	10.82	  51.57	 1.470
05 30 13.98	-42 41 49.1	 9.72	  51.56	 1.343
04 58 45.53	+50 56 40.7	10.97	  51.51	 1.432
06 36 18.40	-40 00 24.2	10.60	  51.51	 1.459
20 27 44.25	-30 51 59.7	 6.61	  51.50	 0.724
