Name	VarType	magMax	magMin	P
LMC V1976   	DCEP    	15.40	16.900	   5.17497100
LMC V1993   	DCEP    	16.20	17.000	   2.98033700
LMC V2009   	DCEP    	16.10	16.600	   2.17649900
LMC V2020   	DCEP    	15.80	16.600	   2.96048700
LMC V2021   	DCEP    	16.80	17.400	   3.64667400
LMC V2024   	DCEP    	16.10	17.000	   4.20545400
LMC V2026   	DCEP    	16.70	17.400	   3.72425100
LMC V2035   	DCEP    	16.20	17.000	   5.50727600
LMC V2044   	DCEP    	15.40	16.500	   5.57221000
LMC V2047   	DCEP    	14.40	16.100	  13.28060000
LMC V2049   	DCEP    	15.80	16.700	   5.10067800
LMC V2064   	DCEP    	11.70	12.360	 119.20000000
LMC V2066   	DCEP    	16.30	17.000	   4.32391000
LMC V2067   	DCEP    	15.50	16.400	   5.10319100
LMC V2070   	DCEP    	14.50	15.900	  21.61130000
LMC V2076   	DCEP    	16.10	17.100	   2.94967800
LMC V2083   	DCEP    	15.90	16.500	   5.66854900
LMC V2088   	DCEP    	16.40	16.800	   3.08804900
LMC V2110   	DCEP    	14.70	16.400	  15.54443000
LMC V2111   	DCEP    	16.10	17.200	   4.79686800
LMC V2115   	DCEP    	16.50	17.400	   3.35886800
LMC V2120   	DCEP    	14.50	15.800	  28.18990000
LMC V2127   	DCEP    	15.70	16.200	   4.84092700

