GVhel	mag	l_mag	Type
  2194	15.3	>	Ia
 62956	22.5	>	Ia
 19487	19.0	>	Ia
 49800	20.5	>	Ia
 13529	18.5	>	Ia
  6686	16.5	>	Ia
257822	23.8	>	Ia
191867	23.1	>	Ia
137905	23.6	>	Ia
137905	22.4	>	Ia
161888	22.5	>	Ia
140902	22.3	>	Ia
188869	23.2	>	Ia
176878	22.4	>	Ia
107925	21.6	>	Ia
173880	22.9	>	Ia
233838	23.4	>	Ia
149896	22.5	>	Ia
 16118	18.6	>	Ia
 16200	20.5	>	Ia
 13491	18.5	>	Ia
  3689	15.5	=	Ia
266815	23.6	>	Ia
248828	23.5	>	Ia
189000	23.3	>	Ia
  5268	15.5	>	Ia
 11566	19.6	>	Ia
 11152	18.0	>	Ia
138000	23.7	>	Ia
201000	23.5	>	Ia
129000	22.6	>	Ia
147000	22.7	>	Ia
249000	24.1	>	Ia
213000	23.4	>	Ia
  5719	15.3	>	Ia
  1109	12.4	=	Ia
107925	22.0	>	Ia
131909	25.0	>	Ia
149896	22.3	>	Ia
191867	22.9	>	Ia
137905	22.7	>	Ia
128911	22.3	>	Ia
170882	24.0	>	Ia
119917	22.1	>	Ia
 74948	21.2	>	Ia
191867	23.8	>	Ia
224844	23.7	>	Ia
122915	22.5	>	Ia
  1792	13.4	>	Ia
  3127	14.6	>	Ia
   897	11.9	=	Ia
 35675	18.5	>	Ia
  7573	18.0	>	Ia
  9129	17.0	>	Ia
 23983	18.6	>	Ia
  2696	15.8	>	Ia
  5418	16.0	>	Ia
 44969	19.3	>	Ia
  5865	17.8	>	Ia
  4990	16.8	=	Ia
  2446	16.0	>	Ia
  2678	13.9	=	Ia
  4078	16.0	>	Ia
  3963	15.2	>	Ia
  1968	14.9	>	Ia
  3257	14.1	>	Ia
 14787	18.8	>	Ia
 14990	17.9	>	Ia
 26981	18.5	>	Ia
 17225	19.5	>	Ia
  3934	17.8	>	Ia
  5966	16.9	>	Ia
  5319	15.0	=	Ia
  7423	15.5	>	Ia
  2847	16.5	>	Ia
251826	23.6	>	Ia
 32977	20.1	>	Ia
 54262	19.7	>	Ia
 11200	18.5	>	Ia
 32078	20.5	>	Ia
 37474	19.6	>	Ia
 32532	19.8	>	Ia
 30119	21.4	>	Ia
194865	23.2	>	Ia
149896	23.4	>	Ia
161888	23.3	>	Ia
137905	22.3	>	Ia
203859	23.5	>	Ia
137905	23.8	>	Ia
206857	24.1	>	Ia
149896	23.1	>	Ia
  7503	16.3	=	Ia
 29080	20.6	>	Ia
 16361	18.7	>	Ia
  9612	17.8	>	Ia
 16189	18.2	>	Ia
 14990	18.8	>	Ia
 44969	19.7	>	Ia
 35975	18.3	>	Ia
  8184	18.8	>	Ia
 37174	19.2	>	Ia
 14990	18.6	>	Ia
 11992	16.8	=	Ia
 44969	20.5	>	Ia
 27899	20.0	>	Ia
  5158	16.8	>	Ia
 37174	20.5	>	Ia
 47967	20.8	>	Ia
 28780	19.1	>	Ia
 89938	21.2	>	Ia
 44969	20.5	>	Ia
 35975	19.6	>	Ia
 38973	19.7	>	Ia
 23084	18.8	>	Ia
 44669	20.1	>	Ia
 14960	17.0	>	Ia
  8637	15.7	>	Ia
  9392	16.1	>	Ia
 23399	18.3	>	Ia
  7353	15.8	>	Ia
107925	22.0	>	Ia
129510	21.9	>	Ia
  2281	13.4	=	Ia
 13531	17.1	>	Ia
  2845	14.2	=	Ia
 18000	17.5	>	Ia
 53963	20.8	>	Ia
  3709	14.3	>	Ia
  3806	16.1	=	Ia
  6613	15.8	>	Ia
  4485	14.9	=	Ia
  6576	14.9	>	Ia
 54562	22.1	>	Ia
131609	23.5	>	Ia
 78845	22.8	>	Ia
 56061	21.8	>	Ia
 80944	22.2	>	Ia
 61757	21.7	>	Ia
146299	23.4	>	Ia
119617	23.3	>	Ia
  3422	14.6	=	Ia
 11733	17.5	>	Ia
  9096	17.4	>	Ia
  4114	15.4	>	Ia
  5253	17.9	>	Ia
 47967	19.0	>	Ia
