Name	VarType	magMax	magMin	P
SMC V0347   	DCEP    	16.90	18.100	   6.01153300
SMC V0348   	DCEP    	16.90	17.500	   1.71556000
SMC V0349   	DCEP    	15.00	16.400	  10.43885000
SMC V0350   	DCEP    	16.20	17.200	   7.33458700
SMC V0351   	DCEP    	16.70	17.800	   2.39281500
SMC V0352   	DCEP    	15.42	16.620	   4.54717000
SMC V0354   	DCEP    	17.40	18.300	   1.60365400
SMC V0356   	DCEP    	11.97	13.060	  65.93700000
SMC V0357   	DCEP    	16.80	18.000	   4.12651900
SMC V0360   	DCEP    	16.70	18.000	   3.13120300
SMC V0362   	DCEP    	17.80	18.300	   1.99334200
SMC V0363   	DCEP    	13.79	14.940	  23.97284000
SMC V0366   	DCEP    	17.40	18.000	   2.38304000
SMC V0369   	DCEP    	15.80	17.400	   5.80800000
SMC V0370   	DCEP    	17.30	18.100	   3.04889800
SMC V0371   	DCEP    	15.70	16.900	   3.05594400
SMC V0375   	DCEP    	15.80	16.900	   5.83301300
SMC V0377   	DCEP    	17.00	17.900	   1.83780400
SMC V0379   	DCEP    	16.00	17.000	   4.88531700
SMC V0380   	DCEP    	17.20	18.000	   1.70740400
SMC V0386   	DCEP    	16.00	16.600	   1.71230000
SMC V0388   	DCEP    	15.10	16.300	  27.22839600
SMC V0389   	DCEP    	15.40	16.800	   7.01188500
SMC V0391   	DCEP    	17.30	18.200	   1.18755200
SMC V0401   	DCEP    	16.20	17.700	   2.03712500
SMC V0406   	DCEP    	16.40	17.000	  11.77024500
SMC V0411   	DCEP    	15.18	15.990	   8.37621300
SMC V0412   	DCEP    	15.04	15.940	  13.65480000
SMC V0414   	DCEP    	14.26	15.400	  15.28748100
SMC V0418   	DCEP    	16.90	17.600	   4.79402500
SMC V0420   	DCEP    	17.90	 1.100	   2.03691000
SMC V0421   	DCEP    	16.20	17.200	   4.19316900
SMC V0425   	DCEP    	17.50	18.000	   1.35905200
SMC V0427   	DCEP    	17.50	18.100	   2.64746900
SMC V0436   	DCEP    	16.50	17.100	   2.81610000
SMC V0437   	DCEP    	16.80	18.100	   1.66370000
SMC V0438   	DCEP    	14.80	16.400	  24.47950000
SMC V0439   	DCEP    	16.80	17.700	   1.91203500
SMC V0443   	DCEP    	17.30	17.900	   1.76130100
SMC V0445   	DCEP    	16.00	17.500	   2.99375100
SMC V0449   	DCEP    	17.20	17.800	   1.63847900
SMC V0450   	DCEP    	15.63	17.100	   3.69288100
SMC V0455   	DCEP    	16.90	17.700	   3.14310200
SMC V0464   	DCEP    	17.40	17.700	   2.02210200
SMC V0466   	DCEP    	13.56	14.700	  30.06343400
SMC V0467   	DCEP    	17.60	17.900	   1.83829900
SMC V0469   	DCEP    	16.30	17.900	   2.47955600
SMC V0472   	DCEP    	17.20	17.600	   2.00440200
SMC V0482   	DCEP    	16.50	17.800	   1.87214000
SMC V0484   	DCEP    	17.40	17.800	   1.59799000
SMC V0485   	DCEP    	17.10	17.700	   1.77115700
SMC V0486   	DCEP    	17.50	17.900	   1.55759100
SMC V0490   	DCEP    	16.50	17.800	   3.08933900
SMC V0492   	DCEP    	15.70	17.200	   3.69918500
SMC V0494   	DCEP    	17.40	17.900	   1.47479600
SMC V0497   	DCEP    	16.10	17.600	   5.11399000
SMC V0499   	DCEP    	16.40	17.320	   5.40461600
SMC V0500   	DCEP    	17.10	18.300	   2.17158600
SMC V0502   	DCEP    	16.50	17.900	   2.99580600
SMC V0510   	DCEP    	16.80	18.600	   2.26734000
SMC V0511   	DCEP    	17.10	18.000	   2.74954900
SMC V0513   	DCEP    	16.90	18.000	   2.45108300
SMC V0517   	DCEP    	15.30	16.400	  13.29575100
SMC V0518   	DCEP    	16.30	17.200	   2.96474600
SMC V0523   	DCEP    	15.50	16.300	  10.03824600
SMC V0525   	DCEP    	16.50	17.800	   3.22389300
SMC V0532   	DCEP    	17.00	18.100	   1.50230000
SMC V0533   	DCEP    	17.10	18.300	   2.13675000
SMC V0535   	DCEP    	16.50	17.700	   3.06191500
SMC V0537   	DCEP    	16.20	17.400	   2.91286200
SMC V0539   	DCEP    	15.20	16.700	   6.56641900
SMC V0540   	DCEP    	16.90	18.000	   1.70142700
SMC V0554   	DCEP    	15.90	16.620	  11.19269300
SMC V0560   	DCEP    	16.60	17.700	   2.94263000
SMC V0566   	DCEP    	16.50	17.700	   2.76979900
SMC V0572   	DCEP    	16.70	17.400	   1.74483200
SMC V0577   	DCEP    	16.30	16.800	   4.16061000
SMC V0579   	DCEP    	16.30	17.700	   1.86655600
SMC V0581   	DCEP    	15.40	17.000	   4.84605500
SMC V0585   	DCEP    	17.10	18.100	   1.78266000

